channel,sku,shipment_id,quantity_sold,quantity_returned,gross_sale,taxes,net_sales,created_at
wholesale,SKU-04081,SHP-0004598,1,0,400,0,400,2026-03-10 23:55:12.000000 UTC
wholesale,SKU-01807,SHP-0004913,2,0,240,0,240,2026-03-10 17:20:58.000000 UTC
online,SKU-04284,SHP-0021795,2,0,800,168,632,2026-03-10 03:12:07.000000 UTC
wholesale,SKU-06838,SHP-0015613,3,0,360,0,360,2026-03-10 19:38:00.000000 UTC
online,SKU-05506,SHP-0018885,3,0,660,138.6,521.4,2026-03-10 02:28:37.000000 UTC
wholesale,SKU-06665,SHP-0011811,1,0,250,0,250,2025-09-30 06:41:10.000000 UTC
wholesale,SKU-02497,SHP-0002999,3,0,840,0,840,2025-09-30 11:59:48.000000 UTC
retail,SKU-05506,SHP-0006637,3,0,660,138.6,521.4,2025-09-30 00:00:05.000000 UTC
online,SKU-06011,SHP-0010728,4,0,480,100.8,379.2,2025-09-30 11:12:26.000000 UTC
wholesale,SKU-01203,SHP-0001188,1,0,60,0,60,2024-06-09 13:36:29.000000 UTC
wholesale,SKU-02129,SHP-0016683,2,0,700,0,700,2024-06-09 08:11:47.000000 UTC
retail,SKU-08297,SHP-0008974,3,0,660,138.6,521.4,2024-06-09 08:19:00.000000 UTC
online,SKU-02129,SHP-0026985,3,0,1050,220.5,829.5,2024-06-09 20:04:10.000000 UTC
wholesale,SKU-02497,SHP-0007279,4,0,1120,0,1120,2024-06-09 23:16:01.000000 UTC
online,SKU-04882,SHP-0021430,4,0,1120,235.2,884.8,2024-06-09 08:42:54.000000 UTC
wholesale,SKU-08843,SHP-0019714,2,0,360,0,360,2025-03-10 01:23:58.000000 UTC
online,SKU-06048,SHP-0022575,3,2,540,113.4,426.6,2025-03-10 09:51:51.000000 UTC
online,SKU-07702,SHP-0004029,3,0,840,176.4,663.6,2025-03-10 18:08:20.000000 UTC
wholesale,SKU-04284,SHP-0022407,1,0,400,0,400,2025-03-10 08:40:50.000000 UTC
wholesale,SKU-02061,SHP-0008405,1,0,30,0,30,2026-03-25 16:37:27.000000 UTC
wholesale,SKU-03014,SHP-0021459,1,0,550,0,550,2026-03-25 18:09:58.000000 UTC
wholesale,SKU-04977,SHP-0003693,2,0,700,0,700,2026-03-25 13:46:24.000000 UTC
wholesale,SKU-04869,SHP-0010909,2,0,1100,0,1100,2026-03-25 19:53:24.000000 UTC
online,SKU-09028,SHP-0024949,3,0,540,113.4,426.6,2026-03-25 11:19:25.000000 UTC
online,SKU-07829,SHP-0004048,4,4,1400,294,1106,2026-03-25 09:57:39.000000 UTC
wholesale,SKU-01829,SHP-0016369,1,0,30,0,30,2025-07-02 01:48:58.000000 UTC
wholesale,SKU-02061,SHP-0010907,1,0,30,0,30,2025-07-02 05:32:57.000000 UTC
wholesale,SKU-04445,SHP-0025425,2,0,360,0,360,2025-07-02 19:08:19.000000 UTC
wholesale,SKU-06048,SHP-9899972,3,0,540,0,540,2025-07-02 09:17:09.000000 UTC
wholesale,SKU-07584,SHP-0007589,3,0,900,0,900,2025-07-02 17:38:02.000000 UTC
