shipment_id,shipping_method,shipping_cost,country
SHP-0000005,pickup,0,DE
SHP-0000014,pickup,0,DE
SHP-0000111,pickup,0,DE
SHP-0000238,pickup,0,DE
SHP-0000316,pickup,0,DE
SHP-0000807,pickup,0,DE
SHP-0000887,pickup,0,DE
SHP-0000918,pickup,0,DE
SHP-0001099,pickup,0,DE
SHP-0001113,pickup,0,DE
SHP-0001158,pickup,0,DE
SHP-0001274,pickup,0,DE
SHP-0001351,pickup,0,DE
SHP-0001451,pickup,0,DE
SHP-0001457,pickup,0,DE
SHP-0001468,pickup,0,DE
SHP-0001954,pickup,0,DE
SHP-0002170,pickup,0,DE
SHP-0002194,pickup,0,DE
SHP-0002225,pickup,0,DE
SHP-0002341,pickup,0,DE
SHP-0002362,pickup,0,DE
SHP-0002543,pickup,0,DE
SHP-0002671,pickup,0,DE
SHP-0002948,pickup,0,DE
SHP-0002996,pickup,0,DE
SHP-0003136,pickup,0,DE
SHP-0003180,pickup,0,DE
SHP-0003389,pickup,0,DE
SHP-0003525,pickup,0,DE
SHP-0003571,pickup,0,DE
SHP-0003631,pickup,0,DE
SHP-0003671,pickup,0,DE
SHP-0003764,pickup,0,DE
SHP-0003869,pickup,0,DE
SHP-0004085,pickup,0,DE
SHP-0004495,pickup,0,DE
SHP-0004707,pickup,0,DE
SHP-0004845,pickup,0,DE
SHP-0005148,pickup,0,DE
SHP-0005149,pickup,0,DE
SHP-0005150,pickup,0,DE
SHP-0005182,pickup,0,DE
SHP-0005600,pickup,0,DE
SHP-0005807,pickup,0,DE
SHP-0005869,pickup,0,DE
SHP-0005885,pickup,0,DE
SHP-0005890,pickup,0,DE
SHP-0006174,pickup,0,DE
SHP-0006286,pickup,0,DE
SHP-0006511,pickup,0,DE
SHP-0006778,pickup,0,DE
SHP-0007556,pickup,0,DE
SHP-0007612,pickup,0,DE
SHP-0007642,pickup,0,DE
SHP-0007673,pickup,0,DE
SHP-0008053,pickup,0,DE
SHP-0008522,pickup,0,DE
SHP-0008617,pickup,0,DE
SHP-0008814,pickup,0,DE
SHP-0008865,pickup,0,DE
SHP-0008899,pickup,0,DE
SHP-0009032,pickup,0,DE
SHP-0009240,pickup,0,DE
SHP-0009326,pickup,0,DE
SHP-0009468,pickup,0,DE
SHP-0009700,pickup,0,DE
SHP-0009744,pickup,0,DE
SHP-0009836,pickup,0,DE
SHP-0009881,pickup,0,DE
SHP-0009893,pickup,0,DE
SHP-0010126,pickup,0,DE
SHP-0010270,pickup,0,DE
SHP-0010316,pickup,0,DE
SHP-0010356,pickup,0,DE
SHP-0010415,pickup,0,DE
SHP-0010423,pickup,0,DE
SHP-0010441,pickup,0,DE
SHP-0010525,pickup,0,DE
SHP-0010632,pickup,0,DE
SHP-0010730,pickup,0,DE
SHP-0011084,pickup,0,DE
SHP-0011319,pickup,0,DE
SHP-0011338,pickup,0,DE
SHP-0011404,pickup,0,DE
SHP-0011417,pickup,0,DE
SHP-0011619,pickup,0,DE
SHP-0011683,pickup,0,DE
SHP-0011816,pickup,0,DE
SHP-0011829,pickup,0,DE
SHP-0011879,pickup,0,DE
SHP-0012081,pickup,0,DE
SHP-0012441,pickup,0,DE
SHP-0012449,pickup,0,DE
SHP-0012464,pickup,0,DE
SHP-0012480,pickup,0,DE
SHP-0012643,pickup,0,DE
SHP-0012678,pickup,0,DE
SHP-0012683,pickup,0,DE
SHP-0012685,pickup,0,DE
SHP-0012764,pickup,0,DE
SHP-0012831,pickup,0,DE
SHP-0012942,pickup,0,DE
SHP-0013008,pickup,0,DE
SHP-0013315,pickup,0,DE
SHP-0013320,pickup,0,DE
SHP-0013385,pickup,0,DE
SHP-0013408,pickup,0,DE
SHP-0013409,pickup,0,DE
SHP-0013911,pickup,0,DE
SHP-0013938,pickup,0,DE
SHP-0013942,pickup,0,DE
SHP-0013970,pickup,0,DE
SHP-0014057,pickup,0,DE
SHP-0014101,pickup,0,DE
SHP-0014462,pickup,0,DE
SHP-0014496,pickup,0,DE
SHP-0014644,pickup,0,DE
SHP-0014746,pickup,0,DE
SHP-0014902,pickup,0,DE
SHP-0015162,pickup,0,DE
SHP-0015187,pickup,0,DE
SHP-0015214,pickup,0,DE
SHP-0015275,pickup,0,DE
SHP-0015315,pickup,0,DE
SHP-0015364,pickup,0,DE
SHP-0015456,pickup,0,DE
SHP-0015522,pickup,0,DE
SHP-0015560,pickup,0,DE
SHP-0015821,pickup,0,DE
SHP-0016138,pickup,0,DE
SHP-0016166,pickup,0,DE
SHP-0016274,pickup,0,DE
SHP-0016446,pickup,0,DE
SHP-0016519,pickup,0,DE
SHP-0016756,pickup,0,DE
SHP-0016790,pickup,0,DE
SHP-0016812,pickup,0,DE
SHP-0017111,pickup,0,DE
SHP-0017113,pickup,0,DE
SHP-0017351,pickup,0,DE
SHP-0017485,pickup,0,DE
SHP-0017559,pickup,0,DE
SHP-0017734,pickup,0,DE
SHP-0018474,pickup,0,DE
SHP-0018523,pickup,0,DE
SHP-0018755,pickup,0,DE
SHP-0018992,pickup,0,DE
SHP-0019134,pickup,0,DE
SHP-0019138,pickup,0,DE
SHP-0019245,pickup,0,DE
SHP-0019330,pickup,0,DE
SHP-0019364,pickup,0,DE
SHP-0019472,pickup,0,DE
SHP-0019485,pickup,0,DE
SHP-0019502,pickup,0,DE
SHP-0019930,pickup,0,DE
SHP-0020042,pickup,0,DE
SHP-0020189,pickup,0,DE
SHP-0020206,pickup,0,DE
SHP-0020240,pickup,0,DE
SHP-0020353,pickup,0,DE
SHP-0020497,pickup,0,DE
SHP-0020683,pickup,0,DE
SHP-0020879,pickup,0,DE
SHP-0021240,pickup,0,DE
SHP-0021708,pickup,0,DE
SHP-0022044,pickup,0,DE
SHP-0022135,pickup,0,DE
SHP-0022168,pickup,0,DE
SHP-0022197,pickup,0,DE
SHP-0022476,pickup,0,DE
SHP-0022478,pickup,0,DE
SHP-0022700,pickup,0,DE
SHP-0022925,pickup,0,DE
SHP-0023033,pickup,0,DE
SHP-0023074,pickup,0,DE
SHP-0023210,pickup,0,DE
SHP-0023280,pickup,0,DE
SHP-0023542,pickup,0,DE
SHP-0023712,pickup,0,DE
SHP-0023850,pickup,0,DE
SHP-0023955,pickup,0,DE
SHP-0023959,pickup,0,DE
SHP-0024168,pickup,0,DE
SHP-0024220,pickup,0,DE
SHP-0024452,pickup,0,DE
SHP-0024488,pickup,0,DE
SHP-0024574,pickup,0,DE
SHP-0024650,pickup,0,DE
SHP-0024836,pickup,0,DE
SHP-0024860,pickup,0,DE
SHP-0024918,pickup,0,DE
SHP-0025106,pickup,0,DE
SHP-0025169,pickup,0,DE
SHP-0025271,pickup,0,DE
SHP-0025310,pickup,0,DE
SHP-0025356,pickup,0,DE
SHP-0025999,pickup,0,DE
SHP-0026003,pickup,0,DE
SHP-0026018,pickup,0,DE
SHP-0026022,pickup,0,DE
SHP-0026059,pickup,0,DE
SHP-0026139,pickup,0,DE
SHP-0026434,pickup,0,DE
SHP-0026472,pickup,0,DE
SHP-0026493,pickup,0,DE
SHP-0026724,pickup,0,DE
SHP-0026775,pickup,0,DE
SHP-0026794,pickup,0,DE
SHP-0026865,pickup,0,DE
SHP-0027000,pickup,0,DE
SHP-0027066,pickup,0,DE
SHP-0027244,pickup,0,DE
SHP-0027386,pickup,0,DE
SHP-0027480,pickup,0,DE
SHP-0027655,pickup,0,DE
SHP-0027680,pickup,0,DE
SHP-0027837,pickup,0,DE
SHP-0027909,pickup,0,DE
SHP-0027950,pickup,0,DE
SHP-0028124,pickup,0,DE
SHP-0028267,pickup,0,DE
SHP-0028441,pickup,0,DE
SHP-0028570,pickup,0,DE
SHP-0028622,pickup,0,DE
SHP-0028851,pickup,0,DE
SHP-0029053,pickup,0,DE
SHP-0029350,pickup,0,DE
SHP-0029399,pickup,0,DE
SHP-0029448,pickup,0,DE
SHP-0029544,pickup,0,DE
SHP-0029637,pickup,0,DE
SHP-0029695,pickup,0,DE
SHP-0029924,pickup,0,DE
SHP-0029932,pickup,0,DE
SHP-0029940,pickup,0,DE
SHP-0004169,standard,5.12,DE
SHP-0018651,standard,5.12,DE
SHP-0020622,standard,5.12,DE
SHP-0023451,standard,5.12,DE
SHP-0023682,standard,5.12,DE
SHP-0023685,standard,5.12,DE
SHP-0026530,standard,5.12,DE
SHP-0028123,standard,5.12,DE
SHP-0002075,express,10.24,DE
SHP-0004518,next_day,15.36,DE
SHP-0011085,next_day,20.48,DE
SHP-0007413,express,13.54,DE
SHP-0009795,express,13.54,DE
SHP-0011754,express,13.54,DE
SHP-0015115,express,13.54,DE
SHP-0022250,express,13.54,DE
SHP-0026041,express,13.54,DE
SHP-0026541,next_day,18.66,DE
SHP-0004069,economy,3.3,DE
SHP-0002116,standard,6.6,DE
SHP-0012534,standard,6.6,DE
SHP-0015557,standard,6.6,DE
SHP-0026209,standard,6.6,DE
SHP-0029039,standard,6.6,DE
SHP-0029041,standard,6.6,DE
SHP-0029710,standard,6.6,DE
SHP-0008970,express,11.72,DE
SHP-0009576,express,11.72,DE
SHP-0010254,express,11.72,DE
SHP-0026410,express,11.72,DE
SHP-0029410,next_day,20.14,DE
SHP-0003403,economy,4.78,DE
SHP-0006740,economy,4.78,DE
SHP-0010238,express,13.2,DE
SHP-0010411,express,13.2,DE
SHP-0007663,next_day,18.32,DE
SHP-0002486,standard,6.26,DE
SHP-0009242,standard,6.26,DE
SHP-0012969,standard,6.26,DE
SHP-0021448,standard,6.26,DE
SHP-0023319,standard,6.26,DE
SHP-0014140,next_day,19.8,DE
SHP-0014390,next_day,19.8,DE
SHP-0006565,economy,4.44,DE
SHP-0026228,economy,4.44,DE
SHP-0002781,standard,7.74,DE
SHP-0005417,standard,7.74,DE
SHP-0016855,standard,7.74,DE
SHP-0025182,standard,7.74,DE
SHP-0003028,express,12.86,DE
SHP-0005966,express,12.86,DE
SHP-0006574,express,12.86,DE
SHP-0022542,express,12.86,DE
SHP-0001151,express,11.04,DE
SHP-0002025,express,11.04,DE
SHP-0020323,express,11.04,DE
SHP-0004760,next_day,16.16,DE
SHP-0003946,standard,5.92,DE
SHP-0011035,standard,5.92,DE
SHP-0013390,standard,5.92,DE
SHP-0015465,standard,5.92,DE
SHP-0017213,standard,5.92,DE
SHP-0028442,express,14.34,DE
SHP-0002408,standard,7.4,DE
SHP-0011199,standard,7.4,DE
SHP-0012216,standard,7.4,DE
SHP-0012588,standard,7.4,DE
SHP-0014060,standard,7.4,DE
SHP-0016657,standard,7.4,DE
SHP-0017537,standard,7.4,DE
SHP-0019410,standard,7.4,DE
SHP-0021966,standard,7.4,DE
SHP-0027143,standard,7.4,DE
SHP-0029490,standard,7.4,DE
SHP-0023295,express,12.52,DE
SHP-0008886,standard,5.58,DE
SHP-0015180,standard,5.58,DE
SHP-0015553,standard,5.58,DE
SHP-0018303,standard,5.58,DE
SHP-0024208,standard,5.58,DE
SHP-0024572,standard,5.58,DE
SHP-0001332,express,10.7,DE
SHP-0003807,economy,3.76,DE
SHP-0026238,economy,3.76,DE
SHP-0001993,express,14,DE
SHP-0026103,next_day,24.24,DE
SHP-0004027,next_day,17.3,DE
